loja_id,loja,produto_id,produto,marca,categoria,grupo,quantidade_minima,quantidade
3,AUTORIZADA ATACADO,9bc95646-5cb1-4b70-9303-960bac629928,DISPLAY SAMSUNG ORIGINAL A02S/A03/A03S/A04E S/ ARO PRETA,SAMSUNG,"","",0,17
3,AUTORIZADA ATACADO,3f51f906-8823-47ac-8ede-49e136b967bb,FLEX CONECTOR CARGA SAMSUNG A10S M15,SAMSUNG,"","",0,17
3,AUTORIZADA ATACADO,9e1434a9-81dd-44c5-9c20-24b13b3e51b0,FLEX LENTE CAMERA IPHONE 16 PRO PRETA,APPLE,"","",0,17
3,AUTORIZADA ATACADO,2b729a7c-e02b-4390-a98c-f6d17b7db57e,FLEX POWER ORIGINAL IPHONE XR,APPLE,"","",0,17
3,AUTORIZADA ATACADO,19fda493-e02f-41ba-8c36-1f4eb9e7dbbc,TAMPA IPHONE 13 BRANCA,APPLE,"","",0,17
3,AUTORIZADA ATACADO,1e03986c-dff5-4882-9a24-8334c415baae,TAMPA IPHONE 13 PRO MAX AZUL,APPLE,"","",0,17
3,AUTORIZADA ATACADO,2313fb7f-b19f-43a3-9127-5bdba55e93d8,TAMPA IPHONE 14 PRO MAX PRETA,APPLE,"","",0,17
3,AUTORIZADA ATACADO,7218cffb-e396-4be6-bed2-9ca3e7d1605b,TAMPA IPHONE 15 PRO MAX C/ARO PRETA,APPLE,"","",0,17
3,AUTORIZADA ATACADO,9055c0c7-8150-4d89-8c1b-054ca0accc26,TAMPA IPHONE 8G ROSE,APPLE,"","",0,17
3,AUTORIZADA ATACADO,bf0c444e-f4dd-4789-835f-c234261647e4,TOUCH IPAD AIR 2 PRETA,APPLE,"","",0,17
3,AUTORIZADA ATACADO,169f09b8-5ca2-491a-8c58-4efd7eda5b32,FERRAMENTA FIO DE ACO 0.06,"","","",0,16
3,AUTORIZADA ATACADO,8b58ff3a-89d0-425b-abcb-ada58532965e,FLEX CAMERA FRONTAL ORIGINAL IPHONE XR,APPLE,"","",0,16
3,AUTORIZADA ATACADO,f296b863-5791-4a0c-be19-c85e76b4dad3,FLEX CONECTOR CARGA SAMSUNG A11,SAMSUNG,"","",0,16
3,AUTORIZADA ATACADO,804b68dc-3b3b-4794-94a7-f0be500938bb,TAG JC BATERIA IPHONE 13 PRO/13 PRO MAX,APPLE,"","",0,16
3,AUTORIZADA ATACADO,5dfe50e1-79c5-4bfe-ba86-9336955ad61e,TAMPA IPHONE 11 BRANCA,APPLE,"","",0,16
3,AUTORIZADA ATACADO,2c002137-2c32-4764-8ee4-bb7a318eb8a2,TAMPA IPHONE 13 PRO DOURADA,APPLE,"","",0,16
3,AUTORIZADA ATACADO,caa277ee-f1aa-4735-a5ce-ab40df36a97e,TAMPA IPHONE 8 PLUS ROSE,APPLE,"","",0,16
3,AUTORIZADA ATACADO,1a5c117d-5e70-428a-8897-1c64f7114da6,TAMPA IPHONE XS MAX BRANCA,APPLE,"","",0,16
3,AUTORIZADA ATACADO,1e420bbe-8c67-4b05-9e8f-e18657d673dc,DISPLAY SAMSUNG MACAQUINHO A05 S/ARO PRETA,SAMSUNG,"","",0,15
3,AUTORIZADA ATACADO,948e7c6d-1c05-4dd5-bca9-af52e3fc21ac,FLEX CONECTOR CARGA MOTOROLA MOTO E32,MOTOROLA,"","",0,15
3,AUTORIZADA ATACADO,3b76168b-8f37-4e55-98d5-fa88d65c9741,FLEX CONECTOR CARGA MOTOROLA MOTO EDGE 30,MOTOROLA,"","",0,15
3,AUTORIZADA ATACADO,d08c8eec-95ff-42c2-b6b0-47423c46b1c8,FLEX CONECTOR CARGA SAMSUNG A02S/A03S,SAMSUNG,"","",0,15
3,AUTORIZADA ATACADO,962e7e2f-455d-4438-9322-796ca1529a77,TAG JC BATERIA IPHONE 11 PRO /11 PRO MAX,APPLE,"","",0,15
3,AUTORIZADA ATACADO,179de349-5686-4af1-aaa7-3b741999e123,TAMPA IPHONE 11 PRO DOURADA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,b88521e9-bc3f-40b7-8f04-ba79a86ac6f9,TAMPA IPHONE 11 PRO PRETA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,a21fe1a6-1022-442d-86a2-6cbecaaefe39,TAMPA IPHONE 12 PRETA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,47b32e72-d0ee-4d97-a29f-b7e78aa416de,TAMPA IPHONE 14 PRO DOURADA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,74506956-765e-4ceb-a7c8-060a5ce5016c,TAMPA IPHONE 14 PRO MAX BRANCA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,5609021c-1a24-4b8c-abd6-392a22a1ce53,TAMPA IPHONE 16 PRO C/ARO NATURAL,APPLE,"","",0,15
3,AUTORIZADA ATACADO,d6885794-35a4-4747-9e68-eb0a739d44ab,TOUCH IPAD 5/AIR 1 PRETA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,70deab11-283e-44f9-9379-6dabf1021c06,VIDRO IPHONE 12/12 PRO+ OCA PRETA,APPLE,"","",0,15
3,AUTORIZADA ATACADO,34328cdb-e0ee-4607-b372-5a4d0fa5df98,VIDRO SAMSUNG X510/X516 TAB S9 FE+ OCA PRETA,G+OCA PRO,"","",0,15
3,AUTORIZADA ATACADO,10077958-6731-4993-bce6-51b7ea66e06c,ALCOOL ISOPROPILICO 250ML,WYLIE,"","",0,14
3,AUTORIZADA ATACADO,f9007084-2b0b-4c4e-b5cd-0f2ad0d94af7,ALCOOL ISOPROPILICO 500ML,WYLIE,"","",0,14
